Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Cause,Human Review
3/21/1980,19:49,"Houston, Texas",Eagle Commuter,,"Houston, TX - Brownwood, TX",Piper PA-28-180,N55932,28-7305503,10.0,7.0,0.0,"The right engine failed while taking off. The plane plunged to the ground, struck a helicopter, a small plane, four parked cars, and slammed into a hanger and burst into flames. The engine failed for undetermined reasons.  Improper emergency procedures. The pilot did not properly configure aircraft and  land immediately.","fire, mechanical, cfit, pilot_error","fire, mechanical, cfit, pilot_error"
4/26/1982,16:45,"Near Yangshuo, Guangxi, China",CAAC,3303,Guangzhou - Guilin,Hawker Siddeley Trident 2E,B-266,2170,112.0,112.0,0.0,The aircraft struck a mountain in heavy rain during a landing attempt.,"weather, cfit","weather, cfit"
5/13/1980,,"Off Varadero, Cuba",Cubana de Aviacion,,Training,Ilyushin IL-14,CU-T322,147001642,3.0,3.0,0.0,Crashed into the sea.,cfit,cfit
7/19/1962,15:45,"Near Bangkok, Thailand",United Arab Airlines,869,Hong Kong - Bangkok,de Havilland Comet 4C,SU-AMW,6464,26.0,26.0,0.0,"Crashed into a jungle on the side of a mountain, 52 nm from the Bangkok airport while on approach. Premature descent. Navigational error.","cfit, pilot_error","cfit, pilot_error"
5/18/2004,10:50,"Urumqi, China",AZAL Cargo Company,,Taiyuan - Urumqi - Baku,Ilyushin II-76TD,4K-AZ27,53460827,7.0,7.0,0.0,"About two minutes after takeoff and  while climbing, the aircraft stalled and crashed in a field 10 km from the  airport.",pilot_error,pilot_error
8/23/2005,15:06,"Near Pucallpa, Peru",TANS Peru,204,Lima - Pucallpa - Iquitos,Boeing B-737-244,OB-1809,22580/87,98.0,40.0,0.0,"The plane was about to land at Pucallpa when it ran into strong winds from a tropical storm. The pilot tried to make an emergency landing without its landing gear on a road near the jungle airport. The plane crashed, broke up and caught fire about 2 miles from the airport.","fire, mechanical, weather, cfit","fire, mechanical, weather, cfit"
11/22/1995,19:00,"Off Jaffna Peninsula , Sri Lanka",Military - Sri Lanka Air Force,,Colombo - Palay AFB,Antonov AN-32,CR862,3503,63.0,63.0,0.0,Crashed into the Indian Ocean while attempting to land at Palay Air Force Base. Most likely shot down by Tamil rebels.,"shot_down, cfit",shot_down
11/8/1945,20:00,"Off Corpus Christi, Texas",Military - U.S. Navy / Military - U.S. Navy,,,Martin PBM-3S  / Martin PBM-5,01710 / 69113,,27.0,22.0,0.0,The aircraft expierence a midair collision over Corpus Christi Bay while on a training flight.,collision,collision
11/17/1972,23:20,"Elkton, Kentucky",Metro Air Systems,,"Hopkinsville, KY - Lexington, KY",Beech G18S,N2700S,,11.0,11.0,0.0,"Improperly loaded aircraft, weight and center of gravity.",pilot_error,pilot_error
4/8/1976,14:56,"Aspen, Colorado",Royal American - Air Taxi,,"Denver, CO - Aspen, CO",Beechcraft A36,N6061S,,2.0,2.0,0.0,Made a high speed vertical dive and crashed. Probable cause undetermined.,undetermined,undetermined
7/19/1985,3:43,"Near Erie, Pennsylvania",Air Ohio - Air Taxi,21,"Louisville, KY - Cleveland, OH",Aerostar 601,N71MA,,2.0,2.0,0.0,"During a normal IFR cruise flight, the pilot of air Ohio flight 21, did not respond to ATC instructions. Air Ohio flight 21 continued for 40 minutes with no reply and without deviation in altitude or heading until the discrete target disappeared from radar over Lake Erie. The pilot had not slept for approximately 30 hours prior to the loss of communication response.",cfit,"cfit, pilot_error"
5/11/1953,,"Prince Rupert, BC, Canada",Canadian PacifiAir Lines,,"Sandpit, BC - Prince Rupert, BC",Consolidated PBY-5A Catalina,CF-CRV,21984,19.0,2.0,0.0,Crashed while attempting to land.  Misuse of controls after the aircraft touched down on the water. The aircraft  bounced several times with the final bounce being so severe the nose section was torn off.,unknown,pilot_error
4/23/1959,,"Van, Turkey",Air Charter,,"Ankara, Turkey - Bahrain",Avro 688 Super Trader,G-AGRH,1256,12.0,12.0,0.0,"The cargo plane aircraft, flying on instruments, drifted north of its normal track because of strong winds and crashed into Mt. Suphan. The winds were stronger than forecast. An accurate bearing could not be obtained at Mus and Van had not been checked.  Sub-normal temperatures would result in a high indicated altimeter reading. Calculations on the flight and contacts with beacons were not coordinated and controlled.",cfit,"weather, cfit"
1/14/1977,,"Terrace, BC, Canada",Northern Thunderbird Air Ltd.,,Prince George - Prince Rupert,de Havilland Canada DHC-6 Twin Otter 300,C-GNTB,463,12.0,12.0,0.0,Crashed into Little Herman Mountain while on approach.,cfit,cfit
7/25/1967,,"Near Luang Prabang, Laos",Taiwan Aviation,,Vientiane - Luang Prabang,Douglas DC-3,B-112,,18.0,18.0,0.0,Crashed en route.,unknown,unknown
8/6/1997,1:42,"Agana, Guam",Korean Airlines,801,Seoul - Guam,Boeing B-747-300,HL-7468,22487/605,254.0,229.0,0.0,"The aircraft crashed into Nimitz Hill, 3 miles short of Runway 06R, while making a non-precision approach in heavy rain to A.B. Won Guam International Airport. The runway glide slope system was inoperative. In addition, the Minimum Safe Altitude Warning system (MSAW) was also not working due to a software problem. The captain’s failure to adequately brief and execute the non-precision approach and the first officer's and flight engineer's failure to effectively monitor and cross-check the captain’s execution of the approach. Contributing to these failures were the captain's fatigue and Korean Air's  inadequate flight crew training. Contributing to the accident was the Federal Aviation Administration's (FAA) intentional inhibition of the MSAW at Guam and the agency's failure to adequately manage the system.","mechanical, weather, cfit, pilot_error","mechanical, weather, cfit, pilot_error"
3/1/1990,,"Near Meerut, India",Military - Indian Air Force,,,MiG-23,,,1.0,0.0,50.0,"After the pilot ejected safely, the aircraft crashed into two trucks killing 50 people on the ground.",unknown,unknown
10/6/1936,,Mexico,Mexicana,,,Lockheed Orion,XA-BDH,,1.0,1.0,0.0,,unknown,unknown
12/7/1973,,"Moscow, Russia",Aeroflot,,,Tupolev TU-104B,CCCP-42503,21901,72.0,13.0,0.0,The aircraft crashed after the wing touched the ground while landing short of the runway.,mechanical,cfit
6/11/2002,9:20,"Winnipeg, Manitoba",Keystone Air Services Ltd. - Air Taxi,,Winnipeg Manitoba,PA- 31-350 Chieftain,C-GPOW,31-7305093,8.0,1.0,0.0,"While on a second approach, the pilot radioed a mayday saying that both his engines had failed.  The aircraft landed at an intersection striking a vehicle. Fuel starvation.","fuel, mechanical","fuel, mechanical"
3/19/1972,,"Shamsam Mountains, South Yemen",EgyptAir,763,Cairo - Aden,McDonnell Douglas DC-9-32,YU-AHR,47503/587,22.0,22.0,0.0,"The aircraft crashed into Shamsam Mountain and exploded, during a visual approach, 4 miles SW of the airport.","fire, cfit","fire, cfit"
8/18/1938,,"Bucharest, Romania",LOT Polish Airlines,,,Lockheed 14 Electra,SP-BNJ,1424,7.0,7.0,0.0,Caught fire after a ground looping.,fire,fire
11/30/1944,,"Dinjan, China",China National Aviation Corporation,,,Douglas C-47,56,,3.0,3.0,0.0,The cargo plane flew into Digboi Mountain after losing both engines.,"mechanical, cfit","mechanical, cfit"
5/28/1994,7:38,"Near Villavicencio, Colombia",Transoriente Colombia,,Villavicencio - La Primavera - Puerto Carreno,Douglas DC-3 (C-53D-DO),HK-2213,11752,29.0,7.0,0.0,Crashed shortly after taking off after double engine failure.,mechanical,mechanical
12/9/1949,,"Near Lanchow, China",Civil Air Transport,,,Curtiss C-46D-CU,XT-820,22354,38.0,38.0,0.0,,unknown,unknown
10/8/2001,8:10,"Milan, Italy",Scandinavian Airlines (SAS) / Private,686 / -,Milan - Copenhagen / Milan - Paris,MD-87 / Cessna 525A Citation II,SE-DMA / D-IEVX,53009/ 525A-0036,114.0,114.0,4.0,"The aircraft was taking off from Linate Airport in fog and poor visibility when it struck a German Cessna Citation II business jet. The MD-87 then swerved off the runway and  collided with the airport's baggage handling building, bursting into flames. The Cessna,  which was about to take off for Paris, entered the active runway by mistake, after  having been told by the tower to enter a different runway. One hundred four passengers and 6 crew on the MD-87 and  2 passengers and 2 crew on the Citation were killed along with 4 on the ground. The MD-87 was named Lage Viking.  Caused largely by human error and poorly followed safety procedures. Communication between the aircraft and the tower had been 'in English and Italian,' as opposed to aviation standards that only English be spoken. In addition, despite the poor visibility, control tower operators failed to ask the Cessna to read back his instructions to make sure they were understood.","fire, mechanical, weather, collision, cfit, pilot_error","fire, weather, cfit, pilot_error"
2/4/1972,,"Pha Khao, Laos",Air America,,Ban Xon - Pha Khao,de Havilland Canada C-7A Caribou,393,51,38.0,1.0,0.0,Crashed while attempting to land. Overloaded,pilot_error,pilot_error
7/28/1945,9:49,"New York, New York",Military - U.S. Army Air Forces,,,North American B-25D bomber,43-0577,,3.0,3.0,11.0,"A U.S. Army Air Force plane crashed into the 79th floor of the Empire State Building in heavy fog.  Lt. Col. William Franklin Smith Jr., the pilot, became disoriented while trying to land at Newark Airport.  Lt. Smith was told he had a 3 hour wait to land at Newark. Impatient to get his plane on the ground, he falsely declared he had official business at La Guardia Airport with the intention of diverting to Newark as soon as he was cleared. The 12 ton plane smashed a 20 ft. hole in the building. Fuel from the ruptured gas tanks poured out and set two floors ablaze killing 10 people. One engine exited the south side of the building and plunged into a penthouse below.  The second engine entered an elevator shaft and severed the cables plunging the car and the elevator operator 1,000 feet into a sub basement. Despite suffering a broken back and legs, she survived.","mechanical, weather",pilot_error
12/26/1989,22:30,"Pasco, Washington",United Express,2415,Yakima - Pasco,British Aerospace 3101 Jetstream 31,N410UE,776,6.0,6.0,0.0,"The aircraft was observed sinking fast while attempting to land at Pasco. The aircraft suddenly nosed over and crashed short of the runway. The crew's decision to continue an unstabilized instrument landing system approach that led to a stall, most likely of the horizontal stabilizer, and loss of control at low altitude. Contributing to the accident was the air trafficontroller's improper vectors that positioned the aircraft inside the outer marker while it was still well above the glideslope. Contributing to the stall and loss of control was the accumulation of airframe ice that degraded the aerodynamiperformance of the airplane.","weather, pilot_error","weather, pilot_error"
4/10/1989,21:07,"Col de Tourniol, France",Europe Aero Service EAS,602,Paris - Valence,Fairchild FH-227B,F-GGDM,532,22.0,22.0,0.0,"After being cleared on a heading for Valence, the aircraft continued on its current heading until it struck a mountain at 4,100 feet. Crew error. Navigational error. Controlled flight into terrain.","cfit, pilot_error","cfit, pilot_error"
7/31/1993,13:00,"Devghat, Nepal",Everest Air,,Kathmandu - Bharatpur,Dornier Do-228-101,9N-ACL,7029,19.0,19.0,0.0,"The aircraft flew into a hillside during a visual approach to Bharatpur. The accident happened in daylight and good weather, however,  the mountains were shrouded in clouds.","weather, cfit","weather, cfit"
12/1/1959,9:47,"Willamsport, Pennsylvania",Allegheny Airlines,371,Harrisburg - Willamsport,Martin 202,N174A,9159,26.0,25.0,0.0,"Crashed into Bald Eagle Mountain,13 miles south of Williamsport,  while on an ILS approach to Williamsport.  Probable accidental caging of the fluxgate compass leading to a erroneous heading indication. Captain's failure to execute a timely abandoned approach. There was one passenger who survived.","mechanical, cfit","mechanical, cfit, pilot_error"
6/3/2006,16:00,"Yaocun, China",Military - Chinese Air Force,,,KJ-2000,,,40.0,40.0,0.0,"Witnesses said they heard an explosion and when they reached the crash site they found the plane had crashed into a mountain and the main body of the plane had destroyed a section of bamboo forest, while the tail had dropped onto nearby fields. The plane crashed about 125 miles southwest of Shanghai. Caused by icing, after flying through several icy regions and the plane being overloaded..","fire, mechanical, cfit, pilot_error","mechanical, cfit, pilot_error"
12/9/1938,,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,,Instructional Flight,Lockheed 14-WF62 Super Electra,PH-APE,1413,4.0,4.0,0.0,Struck a dyke near Schiphol Airport and caught fire while taking off.,"fire, cfit","fire, cfit"
6/17/1971,14:30,"Near Arica, Chile",SAVCO,,Santa Cruz - Arica,Douglas DC-6,CP-926,43043/83,6.0,6.0,0.0,"The aircraft struck Putre Mountain at an altitude of 18,000 feet.  Improper flight planning for IMC weather.","weather, cfit, pilot_error","weather, cfit, pilot_error"
11/13/1931,,"Sir Lowry's pass, South Africa",Union Airways,,,De Havilland DH.80,,,3.0,3.0,0.0,,unknown,unknown
1/9/1964,9:50,"Zarate, Argentina",Aerolineas Litoral Argentina,,Rosario - Buenos Aires,Douglas DC-3,LV-FYJ,14713/26158,30.0,28.0,0.0,"The pilot reported a localized fire in the cabin. Soon after, he attempted to land at an airfield close to Zarate.  The aircraft struck the ground with its landing gear, left engine and wing which resulted in a break-up of the plane and subsequent fire. Crew was possibly overcome by fumes from the fire.","fire, mechanical, cfit","fire, cfit"
12/12/1956,9:00,"Dannemois, France",Air France,,Training,Vickers 708 Viscount,F-BGNK,8,5.0,5.0,0.0,Crashed in a steep angle of attack.,unknown,pilot_error
10/12/1973,,"Acapulco, Mexico",Avionas  Banamex,,,de Havilland DH-125-1A,XA-COL,25086,8.0,8.0,0.0,Crashed while approaching to land.,unknown,unknown
5/21/1959,,"Moro, Peru",Lineas Aéreas Interpolar,,Talara  - Arica,Curtiss C-46A-50-CU,CC-CIA-497,30482,8.0,8.0,0.0,Crashed into a  mountain while en route..,cfit,cfit
10/17/1965,7:28,"Mohanbari, India",Kalinga Airlines,,,Douglas C-47A,VT-AUQ,19431,8.0,8.0,0.0,The cargo plane crashed while dropping supplies.,unknown,unknown
4/16/1992,,"Nairobi, Kenya",Military - Kenyan Air Force,,,de Havilland DHC-5 Buffalo,218,125,46.0,46.0,6.0,The left engine failed while taking off from Eastleigh Air Base. The pilot attempted to return but poor visibility caused him to overshoot the runway. He tried to realign himself but stalled and crashed to the ground.,"mechanical, weather, pilot_error","mechanical, weather, pilot_error"
12/16/1997,13:30,"Near Mackenzie, British Colombia, Canada",Terry Air Inc.,,Mackenzie - Bear Valley,Cessna 402C,C-GKWV,402C0515,3.0,3.0,0.0,"Crashed after taking off from Mackenzie. Wreckage was found on the west shore of Williston Lake.  The cause of the accident is undetermined, however, it is probable that low-level, visual flight in deteriorating weather contributed to the accident.","weather, cfit","weather, cfit"
4/19/1977,,"Tapa AFB, Estonia",Military - Soviet Air Force,,Parnu - Tapa,Antonov An-24,,,21.0,21.0,0.0,Crashed into a building while attempting to land in snow and poor visibility.,weather,weather
5/20/1948,,"Near Bovingdon, England",Air Transport Charter,,,Douglas C-47A,G-AJBG,14003/25448,4.0,3.0,0.0,"Cargo flight. While maneuvering at night under the base of low cloud prepatory to landing, the aircraft lost height and struck the ground. The cause of the accident cannot be determined.",cfit,cfit
2/21/1948,,"Off St. Marcouf, France",Latecoere Airlines,,,Latecoere 631,F-BDRD,7,14.0,14.0,0.0,The aircraft was seen at Ste. Mere l'Eglise where it passed very low in poor weather and snow showers before crashing into the sea.,"weather, cfit","weather, cfit"
11/13/1995,8:55,"Kaduna, Nigeria",Nigeria Airways,357,Jos - Kano,Boeing B-737-2F9,5N-AUA,22985,137.0,9.0,0.0,"The aircraft touched down halfway down the runway, veered off the runway where dry grass caught fire under the aircraft and eventually spread destroying the aircraft.",fire,fire
3/31/2006,17:35,"Rio Bonito, Brazil",Team Air,6865,Macaé - Rio de Janeiro,Let L410UVP-E20,PT-FSE,912532,19.0,19.0,0.0,"Twenty minutes after taking off from Macaé, the plane disappeared of Rio de Janeiro radar. The crew was flying VFR in poor weather conditions and changed their route attempting to fly to the coast. The plane crashed in a wooded area, exploded and burned.","fire, weather, cfit","fire, weather, cfit"
2/4/1962,10:05,"Near Tino Maria, Peru",Faucett,,Huanuco - Pucallpa,Douglas DC-3,OB-PBH-530,7331,18.0,18.0,0.0,"While flying at FL 150, the pilot radioed he was returning to Huanuco because of bad weather. Soon after, the plane was seen spiraling towards the ground and witnesses heard the engines accelerate before the aircraft hit a hill. Separation of the left elevator in flight.","mechanical, weather, cfit","mechanical, weather, cfit"
11/15/2003,18:30,"Mosul, Iraq",Military - U.S. Army,,,UH-60 Black Hawk / UH-60 Black Hawk, / ,,22.0,17.0,0.0,A midair collision occurred between two Black Hawk helicopters. One helicopter was climbing to avoid gunfire when it's rotor struck the other.,"shot_down, collision, cfit","collision, shot_down"
11/6/1929,,"Near Godstone, Surrey, England",Deutsche Lufthansa,,Amsterdam - Croyden,Junkers G-24,D-903,911,8.0,7.0,0.0,Crashed in heavy rain and fog while attempting to land.,weather,weather
10/10/1938,,"Soest, Germany",Sabena,,Brussells - Berlin,Savbia-Marchetti  S-73P,OO-AGT,,20.0,20.0,0.0,The aircraft broke-up in midair and crashed to the ground.Airport.,unknown,mechanical
11/20/1949,16:56,"Near Oslo, Norway",Aero Holland,,Brussels - Oslo,Douglas C-47A,PH-TFA,13462,35.0,34.0,0.0,Crashed while en route.,unknown,unknown
11/9/1999,19:03,"Near Uruapan, Mexico",TAESA,725,Uruapan - Mexico City,McDonnell Douglas DC-9-31,XA-TKN,47418/570,18.0,18.0,0.0,"The plane was on a flight from Tujuana to Mexico City, with stops at Guadalajara and Uruapan. After reaching Uruapan, seventy-eight passengers deplaned.One minute after taking off from Uruapan, the crew declared an emergency without saying what was wrong. A few minutes later the plane went into a steep dive and crashed in a mountainous area 3.3 miles south of the airport. Some witnesses stated the plane was on fire before it hit the ground.","fire, cfit","fire, cfit"
7/23/2007,13:00,"Near Shinile, Ethiopia",Djibouti Airlines,,Dire Dawa - Djibouti,Antonov AN-26V,EX-030,7306103,9.0,1.0,0.0,The cargo plane crashed shortly after taking off after an engine failed. The pilot was trying to return for an emergency landing.,mechanical,mechanical
9/24/1968,,Wake Island,Military - U.S. Air Force,,,Boeing KC-135A,55-3133,17249/16,52.0,11.0,0.0,Experienced engine trouble and divered to Wake. The plane skidded on the runway with the tail on fire.,"fire, mechanical","fire, mechanical"
6/12/1992,12:10,"Sheboygan Falls, Wisconson",Jet Charter Group,,Sheboygan - Manitowoc,Learjet 25B,N38DJ,25-191,2.0,2.0,0.0,"Lifted off prematurely, rolled to the right and flipped over and crashed. The copilot's premature liftoff and the captain's inadequate remedial action resulting in loss of aircraft control at low altitude.",pilot_error,pilot_error
10/2/1994,,"Off Lord Howe Island, NWSW, Australia",Seaview Aviation,,Newcastle - Lord Howe Island,Rockwell Turbo Commander 690B,VH-SVQ,11380,9.0,9.0,0.0,Crashed at sea 42 minutes after departing.  The pilot reported mechanical problems before contact was lost with the plane.,cfit,"mechanical, cfit"
12/31/1981,20:00,"Durango, Colorado",Sun West Airline - Air Taxi,,"Albuquerque, NM - Durango, CO",Piper PA-31,N41070,,6.0,4.0,0.0,The pilot failed to execute a successful missed approach for unknown reasons and crashed.,"mechanical, pilot_error",pilot_error
8/15/1991,,,Transports Aériens de la Guinee-Bissau,,Kano - Bamako,Fokker F-27 Friendship 100,J5-GBB,10119,3.0,3.0,0.0,On a positioning flight the plane struck trees and broke up while attempting to land.,cfit,cfit
3/19/1973,,"Ben Me Thuot, South Vietnam",Air Vietnam (South Vietnam),,Saigon - Ban Me,Douglas C-54D,XV-NUI,22174,62.0,62.0,0.0,Crashed after an explosion in the cargo hold.,fire,fire
1/20/1954,,"Kansas City, Missouri",Zantop Air Transport,,,Douglas DC-3A,N49551,4940,3.0,3.0,0.0,The cargo plane crashed while on approach. The loss of control of the aircraft at an altitude too low to effect recovery. The loss of control resulted from an accumulation of ice and the use of de-icer boots at low air speeds.,weather,"weather, pilot_error"
