Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Cause,Human Review
7/12/2004,7:15,"Off Beef Island, British Virgin Islands",Dodita Air Cargo,,San Juan - Saint Martten,Convair CV-440,N4826C,391,2.0,1.0,0.0,"While en route the cargo plane experienced a fire in the right engine which led to a ditching of the plane. The plane sank in 1,000 ft. of water the copilot was rescued but the captain was never found.","fire, mechanical","fire, mechanical"
11/11/1953,17:30,"Off Argyll, England",Military - Royal Air Force,,,Avro Shackleton MR-2,WL746,,10.0,10.0,0.0,,unknown,unknown
2/8/1964,,"Freeport, Bahamas",Private air taxi,-,"Freeport, Grand Bahamas - West Palm Beach, FL",Piper PA-23,N2157P,,4.0,4.0,0.0,Disappeared while en route. Probable cause undetermined.,undetermined,undetermined
7/24/1992,,"Near Skopje, Macedonia",Volga-Dnepr Airlines,,,Antonov 12BK,CCCP-11342,347607,8.0,8.0,0.0,"On approach, the cargo plane went off course while trying to circumnavigate a thunderstorm and impacted a mountain.","weather, cfit","weather, cfit"
9/17/1982,9:30,"Near Nondalton, Alaksa",Air Taxi,,"Nondalton, AK - Port Alsworth, AK",Robertson C-U206F,N33249,,5.0,4.0,0.0,Shortly after takeoff from Hudson Lake the left wingtip contacted the water causing the aircraft to cartwheel. The aircraft came to rest inverted & floated for a short time before sinking. Poor judgement by the pilot in command. Unfavorable wind and weather conditions.,"weather, cfit","weather, cfit, pilot_error"
1/27/1977,,"San Ramon, Bolivia",Transportes Aéreos Itenez,,,Fairchild C-82,CP-983,10147,6.0,6.0,0.0,,unknown,unknown
10/9/1984,,"Fort Franklin, Canada",Nahanni Air Services,,Fort Norman - Fort Franklin,de Havilland Canada DHC-6 Twin Otter 100,C-FPPL,115,7.0,7.0,0.0,Struck a tower while on approach in fog.  Weather was below VFR minima and not reported to the pilot because of a lack of observation and communications facilities at Fort Franklin. The decision of the pilot to continue the approach in fog.,"weather, cfit","weather, cfit"
3/15/1949,,"Berlin, Germany",Skyways,,,Avro 685 York I,G-AHFI,1316,3.0,3.0,0.0,The cargo plane crashed while attempting to land.,unknown,unknown
3/23/1994,0:57,"Near Mezhdurechensk, Russia",Aeroflot Russian International Airways,593,Moscow - Hong Kong,Airbus A310-304,F-OGQS,596,75.0,75.0,0.0,"The aircraft crashed after a captain allowed his child to manipulate the controls of the plane. The pilot's 11 year old daughter and 16 year old son were taking turns in the pilot's seat. While the boy was flying, he inadvertently disengaged the autopilot linkage to the ailerons and put the airliner in a bank of 90 degrees which caused the nose to drop sharply. The co-pilot pulled back on the yoke to obtain level flight but the plane stalled. With his seat pulled all the way back, the co-pilot in the right hand seat could not properly control the aircraft. After several stalls and rapid pull-ups the plane went into a spiral descent. In the end the co-pilot initiated a 4.8g pull-up and nearly regained a stable flight path but the aircraft struck the ground in an almost level attitude killing all aboard. The aircraft was named Glinka, after Mikhail Glinka, the father of Russian music.","cfit, pilot_error","cfit, pilot_error"
5/4/1970,,"Hamilton AFB, California",Military - U.S. Air Force,,,Convair CV-240,52-5822,5221,14.0,13.0,0.0,,unknown,unknown
8/26/1952,7:00,"Near Khewra, West Pakistan",Military - Pakistan Air Force,,Khewra - Peshawar,Bristol 170 Freighter,G783,,18.0,18.0,0.0,Crashed shortly after taking off from Khewra. Possible engine failure.,mechanical,mechanical
9/21/1993,,"Sukhumi, Georgia",Transair Georgia Airlines,,Sochi - Sukhumi,Tupolev TU-134A,CCCP-65893,5340120,27.0,27.0,0.0,Crashed into the sea. Shot down with a missile by Abkhazi separatist rebels.,"shot_down, cfit","shot_down, cfit"
7/27/1960,22:38,"Forest Park, Illinois",Chicago Helicopter Airways,698,,Sikorsky S-58C helicopter,N879,58420,13.0,13.0,0.0,"The helicopter crashed into Forest Home Cemetery. The structural disintegration in flight, initiated by a fatigue fracture of a main rotor blade.",mechanical,mechanical
3/22/1992,,"Near Yakutia, Russia",Aeroflot,,Chekurdakh - Tiksi,Antonov AN-30,RA-30002,1403,10.0,10.0,0.0,"Autopilot engagement and disengagement resulted in oscillations of the aircraft which led to a loss of control and break-up in mid air. Pilot-induced lateral oscillations led to a stall, dive and break-up.",pilot_error,pilot_error
5/27/1972,,"Near Helgoland, Germany",General Air,,,de Havilland Canada DHC-6 Twin Otter,D-IDHC,31,13.0,8.0,0.0,Crashed after taking off this North sea island for another island.,cfit,cfit
9/27/2008,3:57,"Camp Springs, Maryland",Maryland State Police,,Medical evacuation flight,Aerospatiale SA365N-1 Dauphin II,N92MD,6311,5.0,4.0,0.0,The medical helicopter carrying victims of a traffiaccident crashed in fog at Walker Mill Regional Park. The pilot radioed for help prior to the accident.,weather,weather
9/16/1984,,"Opole, Poland",APRL,,Airshow,Antonov An-2T,SP-AMK,1G168-04,26.0,11.0,0.0,Crashed during takeoff. Overloaded,pilot_error,pilot_error
7/27/1992,16:15,"Near Mexico City, Mexico",Aero Eslava,,Puebla - Mexico City,Vickers 798D Viscount,XA-SCM,392,4.0,4.0,0.0,Flew into a mountain in poor weather on a positioning flight.,"weather, cfit","weather, cfit"
1/26/1935,,"Pittsburgh, Pennsylvania",Trans Continental and Western Air,,"Newark, NJ - Columbus, OH",Consolidated Fleetster,NC13212,,1.0,1.0,0.0,The mail plane crashed and burned soon after taking off in a blinding snowstorm.,"fire, weather","fire, weather"
1/16/1945,,"Near Kunming, China",China National Aviation Corporation,,Chongqing - Kunming,Douglas C-47,,,3.0,3.0,0.0,,unknown,unknown
4/15/1997,,"Gyandzha, Azerbaijan",Azerbaijan Airlines,,Training,Yakovlev 40,4K-87504,9510640,6.0,6.0,0.0,"A stray bullet from training soldiers struck the landing plane, hitting an oxygen cylinder. A fire broke out and control of the plane was lost and it crashed.","shot_down, fire, cfit","fire, cfit, shot_down"
